code,date,close,slope_standard,slope_standard_last,low,high,scale,signal
510300,2023-08-04,4.698,1.2426773119760128,1.1340200257874349,-1.4,0.7000000000000002,718.71,sell
512880,2023-08-04,1.065,3.0515873433621,2.706766056937345,-1.2,1.2000000000000002,329.09,sell
510180,2023-08-04,10.604,1.6074119639953135,1.5098912303157406,-0.5,0.8999999999999999,193.6,sell
510880,2023-08-04,4.243,0.9521277698833776,0.9342362077797756,-0.7,0.6000000000000001,159.31,sell
510900,2023-08-04,0.896,1.29775812227642,1.3207052441793652,-0.3,0.2999999999999998,91.78,sell
512800,2023-08-04,1.157,1.9400505039018427,1.9362373269280448,-1.7,1.7000000000000002,77.45,sell
159992,2023-08-04,0.829,0.4228022304770444,0.4418197974475129,-0.5,0.2000000000000001,77.31,sell
510810,2023-08-04,0.904,2.3196202633437726,2.1408845912093324,-1.5,1.2000000000000002,70.38,sell
512070,2023-08-04,2.187,2.7119686049056995,2.4209964332323084,-0.7,0.8999999999999999,52.7,sell
515290,2023-08-04,1.029,1.952397986835237,1.9461151861585888,-0.7,-0.1,50.42,sell
512200,2023-08-04,0.709,2.721629836712981,2.580884765083202,-1.6,2.0,44.15,sell
510230,2023-08-04,6.53,2.451910676045605,2.311888448547068,0.1,1.0,37.1,sell
515180,2023-08-04,1.511,1.2452888811851563,1.2030197258767985,-0.3999999999999999,0.2999999999999998,26.57,sell
159883,2023-08-04,0.576,-0.033304758141661,-0.0290995039910329,-0.7,-0.1,22.77,sell
159998,2023-08-04,0.983,0.0590499748921897,-0.1913391854424239,-0.7,0.0,22.36,sell
159651,2023-08-04,1.018,-0.076858423562948,-0.0774620497115119,-0.7,-0.1,21.3,sell
