code,date,close,slope_standard,slope_standard_last,low,high,scale,signal
510300,2023-08-04,4.694,1.2364705789703392,1.1340200257874349,-1.4,0.7000000000000002,718.71,sell
512880,2023-08-04,1.063,3.041969405023948,2.706766056937345,-1.2,1.2000000000000002,329.09,sell
510180,2023-08-04,10.579,1.5873975254045791,1.5098912303157406,-0.5,0.8999999999999999,193.6,sell
510880,2023-08-04,4.236,0.937513737209244,0.9342362077797756,-0.7,0.6000000000000001,159.31,sell
510900,2023-08-04,0.894,1.2865937723099772,1.3207052441793652,-0.3,0.2999999999999998,91.78,sell
512800,2023-08-04,1.16,1.957994308389897,1.9362373269280448,-1.7,1.7000000000000002,77.45,sell
159992,2023-08-04,0.829,0.4228022304770444,0.4418197974475129,-0.5,0.2000000000000001,77.31,sell
510810,2023-08-04,0.901,2.2924786911237587,2.1408845912093324,-1.5,1.2000000000000002,70.38,sell
512070,2023-08-04,2.163,2.651035510989016,2.4209964332323084,-0.7,0.8999999999999999,52.7,sell
515290,2023-08-04,1.031,1.965780713890064,1.9461151861585888,-0.7,-0.1,50.42,sell
512200,2023-08-04,0.711,2.732823913267169,2.580884765083202,-1.6,2.0,44.15,sell
510230,2023-08-04,6.505,2.4214350840784395,2.311888448547068,0.1,1.0,37.1,sell
515180,2023-08-04,1.507,1.2243928185810171,1.2030197258767985,-0.3999999999999999,0.2999999999999998,26.57,sell
159883,2023-08-04,0.578,-0.0317061183691131,-0.0290995039910329,-0.7,-0.1,22.77,sell
159998,2023-08-04,0.984,0.0635003385273295,-0.1913391854424239,-0.7,0.0,22.36,sell
159651,2023-08-04,1.018,-0.076858423562948,-0.0774620497115119,-0.7,-0.1,21.3,sell
