date,close,code
2018-05-17,1.049,006015
2018-05-18,1.049,006015
2018-05-21,1.049,006015
2018-05-22,1.049,006015
2018-05-23,1.049,006015
2018-05-24,1.049,006015
2018-05-25,1.049,006015
2018-05-28,1.05,006015
2018-05-29,1.05,006015
2018-05-30,1.05,006015
2018-05-31,1.05,006015
2018-06-01,1.05,006015
2018-06-04,1.05,006015
2018-06-05,1.049,006015
2018-06-06,1.049,006015
2018-06-07,1.049,006015
2018-06-08,1.049,006015
2018-06-11,1.049,006015
2018-06-12,1.048,006015
2018-06-13,1.049,006015
2018-06-14,1.049,006015
2018-06-15,1.049,006015
2018-06-19,1.05,006015
2018-06-20,1.05,006015
2018-06-21,1.05,006015
2018-06-22,1.05,006015
2018-06-25,1.051,006015
2018-06-26,1.051,006015
2018-06-27,1.051,006015
2018-06-28,1.051,006015
2018-06-29,1.052,006015
2018-06-30,1.052,006015
2018-07-02,1.053,006015
2018-07-03,1.053,006015
2018-07-04,1.054,006015
2018-07-05,1.054,006015
2018-07-06,1.055,006015
2018-07-09,1.055,006015
2018-07-10,1.055,006015
2018-07-11,1.055,006015
2018-07-12,1.055,006015
2018-07-13,1.055,006015
2018-07-16,1.055,006015
2018-07-17,1.055,006015
2018-07-18,1.055,006015
2018-07-19,1.056,006015
2018-07-20,1.057,006015
2018-07-23,1.057,006015
2018-07-24,1.058,006015
2018-07-25,1.058,006015
2018-07-26,1.059,006015
2018-07-27,1.06,006015
2018-07-30,1.06,006015
2018-07-31,1.061,006015
2018-08-01,1.062,006015
2018-08-02,1.062,006015
2018-08-03,1.064,006015
2018-08-06,1.065,006015
2018-08-07,1.066,006015
2018-08-08,1.066,006015
2018-08-09,1.065,006015
2018-08-10,1.064,006015
2018-08-13,1.063,006015
2018-08-14,1.063,006015
2018-08-15,1.063,006015
2018-08-16,1.063,006015
2018-08-17,1.062,006015
2018-08-20,1.062,006015
2018-08-21,1.061,006015
2018-08-22,1.061,006015
2018-08-23,1.062,006015
2018-08-24,1.062,006015
2018-08-27,1.062,006015
2018-08-28,1.062,006015
2018-08-29,1.062,006015
2018-08-30,1.062,006015
2018-08-31,1.063,006015
2018-09-03,1.063,006015
2018-09-04,1.063,006015
2018-09-05,1.063,006015
2018-09-06,1.063,006015
2018-09-07,1.063,006015
2018-09-10,1.063,006015
2018-09-11,1.063,006015
2018-09-12,1.063,006015
2018-09-13,1.063,006015
2018-09-14,1.063,006015
2018-09-17,1.064,006015
2018-09-18,1.064,006015
2018-09-19,1.064,006015
2018-09-20,1.064,006015
2018-09-21,1.064,006015
2018-09-25,1.064,006015
2018-09-26,1.064,006015
2018-09-27,1.065,006015
2018-09-28,1.065,006015
2018-10-08,1.066,006015
2018-10-09,1.066,006015
2018-10-10,1.066,006015
2018-10-11,1.067,006015
2018-10-12,1.067,006015
2018-10-15,1.067,006015
2018-10-16,1.067,006015
2018-10-17,1.067,006015
2018-10-18,1.067,006015
2018-10-19,1.067,006015
2018-10-22,1.066,006015
2018-10-23,1.066,006015
2018-10-24,1.066,006015
2018-10-25,1.067,006015
2018-10-26,1.066,006015
2018-10-29,1.066,006015
2018-10-30,1.066,006015
2018-10-31,1.066,006015
2018-11-01,1.067,006015
2018-11-02,1.066,006015
2018-11-05,1.068,006015
2018-11-06,1.069,006015
2018-11-07,1.07,006015
2018-11-08,1.07,006015
2018-11-09,1.07,006015
2018-11-12,1.07,006015
2018-11-13,1.07,006015
2018-11-14,1.072,006015
2018-11-15,1.073,006015
2018-11-16,1.074,006015
2018-11-19,1.075,006015
2018-11-20,1.075,006015
2018-11-21,1.075,006015
2018-11-22,1.075,006015
2018-11-23,1.075,006015
2018-11-26,1.075,006015
2018-11-27,1.075,006015
2018-11-28,1.075,006015
2018-11-29,1.076,006015
2018-11-30,1.076,006015
2018-12-03,1.076,006015
2018-12-04,1.077,006015
2018-12-05,1.078,006015
2018-12-06,1.078,006015
2018-12-07,1.078,006015
2018-12-10,1.079,006015
2018-12-11,1.08,006015
2018-12-12,1.08,006015
2018-12-13,1.078,006015
2018-12-14,1.078,006015
2018-12-17,1.077,006015
2018-12-18,1.077,006015
2018-12-19,1.078,006015
2018-12-20,1.079,006015
2018-12-21,1.079,006015
2018-12-24,1.079,006015
2018-12-25,1.079,006015
2018-12-26,1.079,006015
2018-12-27,1.08,006015
2018-12-28,1.081,006015
2018-12-31,1.082,006015
2019-01-02,1.081,006015
2019-01-03,1.083,006015
2019-01-04,1.082,006015
2019-01-07,1.083,006015
2019-01-08,1.084,006015
2019-01-09,1.083,006015
2019-01-10,1.084,006015
2019-01-11,1.084,006015
2019-01-14,1.084,006015
2019-01-15,1.082,006015
2019-01-16,1.081,006015
2019-01-17,1.08,006015
2019-01-18,1.079,006015
2019-01-21,1.078,006015
2019-01-22,1.076,006015
2019-01-23,1.074,006015
2019-01-24,1.072,006015
2019-01-25,1.072,006015
2019-01-28,1.071,006015
2019-01-29,1.071,006015
2019-01-30,1.071,006015
2019-01-31,1.071,006015
2019-02-01,1.072,006015
2019-02-11,1.073,006015
2019-02-12,1.074,006015
2019-02-13,1.074,006015
2019-02-14,1.074,006015
2019-02-15,1.074,006015
2019-02-18,1.075,006015
2019-02-19,1.075,006015
2019-02-20,1.075,006015
2019-02-21,1.075,006015
2019-02-22,1.075,006015
2019-02-25,1.075,006015
2019-02-26,1.073,006015
2019-02-27,1.073,006015
2019-02-28,1.073,006015
2019-03-01,1.073,006015
2019-03-04,1.073,006015
2019-03-05,1.073,006015
2019-03-06,1.073,006015
2019-03-07,1.074,006015
2019-03-08,1.075,006015
2019-03-11,1.076,006015
2019-03-12,1.076,006015
2019-03-13,1.076,006015
2019-03-14,1.077,006015
2019-03-15,1.077,006015
2019-03-18,1.077,006015
2019-03-19,1.077,006015
2019-03-20,1.077,006015
2019-03-21,1.077,006015
2019-03-22,1.078,006015
2019-03-25,1.079,006015
2019-03-26,1.094,006015
2019-03-27,1.094,006015
2019-03-28,1.094,006015
2019-03-29,1.095,006015
2019-04-01,1.095,006015
2019-04-02,1.094,006015
2019-04-03,1.094,006015
2019-04-04,1.093,006015
2019-04-08,1.093,006015
2019-04-09,1.092,006015
2019-04-10,1.091,006015
2019-04-11,1.091,006015
2019-04-12,1.091,006015
2019-04-15,1.09,006015
2019-04-16,1.089,006015
2019-04-17,1.089,006015
2019-04-18,1.089,006015
2019-04-19,1.089,006015
2019-04-22,1.089,006015
2019-04-23,1.089,006015
2019-04-24,1.089,006015
2019-04-25,1.089,006015
2019-04-26,1.089,006015
2019-04-29,1.089,006015
2019-04-30,1.089,006015
2019-05-06,1.09,006015
2019-05-07,1.09,006015
2019-05-08,1.091,006015
2019-05-09,1.092,006015
2019-05-10,1.092,006015
2019-05-13,1.093,006015
2019-05-14,1.094,006015
2019-05-15,1.094,006015
2019-05-16,1.094,006015
2019-05-17,1.095,006015
2019-05-20,1.095,006015
2019-05-21,1.095,006015
2019-05-22,1.095,006015
2019-05-23,1.094,006015
2019-05-24,1.095,006015
2019-05-27,1.094,006015
2019-05-28,1.094,006015
