date,close,code
2014-03-06,1.0,164705
2014-03-07,1.003,164705
2014-03-14,1.002,164705
2014-03-21,1.005,164705
2014-03-28,1.006,164705
2014-04-08,1.006,164705
2014-04-09,1.007,164705
2014-04-10,1.011,164705
2014-04-11,1.002,164705
2014-04-14,1.004,164705
2014-04-15,0.987,164705
2014-04-16,0.99,164705
2014-04-17,0.994,164705
2014-04-18,0.994,164705
2014-04-21,0.994,164705
2014-04-22,0.994,164705
2014-04-23,0.986,164705
2014-04-24,0.988,164705
2014-04-25,0.973,164705
2014-04-28,0.97,164705
2014-04-29,0.983,164705
2014-04-30,0.97,164705
2014-05-05,0.966,164705
2014-05-06,0.967,164705
2014-05-07,0.957,164705
2014-05-08,0.961,164705
2014-05-09,0.962,164705
2014-05-12,0.98,164705
2014-05-13,0.984,164705
2014-05-14,0.994,164705
2014-05-15,1.0,164705
2014-05-16,1.0,164705
2014-05-19,0.999,164705
2014-05-20,1.006,164705
2014-05-21,1.008,164705
2014-05-22,1.014,164705
2014-05-23,1.016,164705
2014-05-26,1.016,164705
2014-05-27,1.017,164705
2014-05-28,1.023,164705
2014-05-29,1.021,164705
2014-05-30,1.025,164705
2014-06-03,1.034,164705
2014-06-04,1.028,164705
2014-06-05,1.029,164705
2014-06-06,1.021,164705
2014-06-09,1.026,164705
2014-06-10,1.034,164705
2014-06-11,1.034,164705
2014-06-12,1.033,164705
2014-06-13,1.04,164705
2014-06-16,1.039,164705
2014-06-17,1.036,164705
2014-06-18,1.035,164705
2014-06-19,1.037,164705
2014-06-20,1.038,164705
2014-06-23,1.022,164705
2014-06-24,1.025,164705
2014-06-25,1.025,164705
2014-06-26,1.039,164705
2014-06-27,1.04,164705
2014-06-30,1.039,164705
2014-07-01,1.039,164705
2014-07-02,1.058,164705
2014-07-03,1.061,164705
2014-07-04,1.062,164705
2014-07-07,1.062,164705
2014-07-08,1.062,164705
2014-07-09,1.045,164705
2014-07-10,1.046,164705
2014-07-11,1.046,164705
2014-07-14,1.051,164705
2014-07-15,1.056,164705
2014-07-16,1.059,164705
2014-07-17,1.06,164705
2014-07-18,1.057,164705
2014-07-21,1.054,164705
2014-07-22,1.07,164705
