date,close,code
2012-12-12,1.0,380006
2012-12-14,1.0,380006
2012-12-21,1.001,380006
2012-12-28,1.002,380006
2012-12-31,1.002,380006
2013-01-04,1.002,380006
2013-01-11,1.004,380006
2013-01-14,1.005,380006
2013-01-15,1.005,380006
2013-01-16,1.005,380006
2013-01-17,1.005,380006
2013-01-18,1.006,380006
2013-01-21,1.007,380006
2013-01-22,1.007,380006
2013-01-23,1.008,380006
2013-01-24,1.009,380006
2013-01-25,1.009,380006
2013-01-28,1.009,380006
2013-01-29,1.009,380006
2013-01-30,1.01,380006
2013-01-31,1.01,380006
2013-02-01,1.01,380006
2013-02-04,1.011,380006
2013-02-05,1.011,380006
2013-02-06,1.012,380006
2013-02-07,1.012,380006
2013-02-08,1.012,380006
2013-02-18,1.015,380006
2013-02-19,1.016,380006
2013-02-20,1.016,380006
2013-02-21,1.018,380006
2013-02-22,1.019,380006
2013-02-25,1.019,380006
2013-02-26,1.019,380006
2013-02-27,1.019,380006
2013-02-28,1.019,380006
2013-03-01,1.019,380006
2013-03-04,1.02,380006
2013-03-05,1.02,380006
2013-03-06,1.02,380006
2013-03-07,1.02,380006
2013-03-08,1.021,380006
2013-03-11,1.021,380006
2013-03-12,1.02,380006
2013-03-13,1.02,380006
2013-03-14,1.02,380006
2013-03-15,1.02,380006
2013-03-18,1.02,380006
2013-03-19,1.02,380006
2013-03-20,1.02,380006
2013-03-21,1.02,380006
2013-03-22,1.02,380006
2013-03-25,1.02,380006
2013-03-26,1.02,380006
2013-03-27,1.02,380006
2013-03-28,1.021,380006
2013-03-29,1.022,380006
2013-04-01,1.024,380006
2013-04-02,1.025,380006
2013-04-03,1.027,380006
2013-04-08,1.029,380006
2013-04-09,1.03,380006
2013-04-10,1.031,380006
2013-04-11,1.031,380006
2013-04-12,1.032,380006
2013-04-15,1.033,380006
2013-04-16,1.034,380006
2013-04-17,1.034,380006
2013-04-18,1.033,380006
2013-04-19,1.032,380006
2013-04-22,1.029,380006
2013-04-23,1.029,380006
2013-04-24,1.029,380006
2013-04-25,1.03,380006
2013-04-26,1.031,380006
2013-05-02,1.032,380006
2013-05-03,1.032,380006
2013-05-06,1.033,380006
2013-05-07,1.034,380006
2013-05-08,1.033,380006
2013-05-09,1.034,380006
2013-05-10,1.035,380006
2013-05-13,1.036,380006
2013-05-14,1.036,380006
2013-05-15,1.037,380006
2013-05-16,1.037,380006
2013-05-17,1.037,380006
2013-05-20,1.037,380006
2013-05-21,1.037,380006
2013-05-22,1.037,380006
2013-05-23,1.038,380006
2013-05-24,1.038,380006
2013-05-27,1.039,380006
2013-05-28,1.039,380006
2013-05-29,1.039,380006
2013-05-30,1.039,380006
2013-05-31,1.04,380006
2013-06-03,1.04,380006
2013-06-04,1.04,380006
2013-06-05,1.04,380006
2013-06-06,1.039,380006
2013-06-07,1.039,380006
2013-06-13,1.038,380006
2013-06-14,1.037,380006
2013-06-17,1.036,380006
2013-06-18,1.036,380006
2013-06-19,1.033,380006
2013-06-20,1.028,380006
2013-06-21,1.027,380006
2013-06-24,1.024,380006
2013-06-25,1.024,380006
2013-06-26,1.029,380006
2013-06-27,1.031,380006
2013-06-28,1.033,380006
2013-06-30,1.033,380006
2013-07-01,1.033,380006
2013-07-02,1.036,380006
2013-07-03,1.037,380006
2013-07-04,1.038,380006
2013-07-05,1.038,380006
2013-07-08,1.039,380006
2013-07-09,1.039,380006
2013-07-10,1.038,380006
2013-07-11,1.038,380006
2013-07-12,1.037,380006
2013-07-15,1.036,380006
2013-07-16,1.036,380006
2013-07-17,1.035,380006
2013-07-18,1.034,380006
2013-07-19,1.033,380006
2013-07-22,1.031,380006
2013-07-23,1.029,380006
2013-07-24,1.027,380006
2013-07-25,1.027,380006
2013-07-26,1.027,380006
2013-07-29,1.027,380006
2013-07-30,1.026,380006
2013-07-31,1.026,380006
2013-08-01,1.028,380006
2013-08-02,1.03,380006
2013-08-05,1.03,380006
2013-08-06,1.029,380006
2013-08-07,1.029,380006
2013-08-08,1.027,380006
2013-08-09,1.026,380006
2013-08-12,1.026,380006
2013-08-13,1.023,380006
2013-08-14,1.021,380006
2013-08-15,1.017,380006
2013-08-16,1.017,380006
2013-08-19,1.017,380006
2013-08-20,1.015,380006
2013-08-21,1.015,380006
2013-08-22,1.016,380006
2013-08-23,1.017,380006
2013-08-26,1.018,380006
2013-08-27,1.018,380006
2013-08-28,1.02,380006
2013-08-29,1.02,380006
2013-08-30,1.021,380006
2013-09-02,1.022,380006
2013-09-03,1.022,380006
2013-09-04,1.022,380006
2013-09-05,1.023,380006
2013-09-06,1.023,380006
2013-09-09,1.024,380006
2013-09-10,1.025,380006
2013-09-11,1.025,380006
2013-09-12,1.025,380006
2013-09-13,1.025,380006
2013-09-16,1.024,380006
2013-09-17,1.024,380006
2013-09-18,1.024,380006
2013-09-23,1.025,380006
