date,close,code
2015-06-08,1.0,001356
2015-06-12,1.001,001356
2015-06-15,0.999,001356
2015-06-16,0.996,001356
2015-06-17,0.998,001356
2015-06-18,0.994,001356
2015-06-19,0.987,001356
2015-06-23,0.989,001356
2015-06-24,0.99,001356
2015-06-25,0.988,001356
2015-06-26,0.985,001356
2015-06-29,0.985,001356
2015-06-30,0.985,001356
2015-07-01,0.985,001356
2015-07-02,0.984,001356
2015-07-03,0.984,001356
2015-07-06,0.984,001356
2015-07-07,0.984,001356
2015-07-08,0.984,001356
2015-07-09,0.984,001356
2015-07-10,0.984,001356
2015-07-13,0.985,001356
2015-07-14,0.985,001356
2015-07-15,0.985,001356
2015-07-16,0.985,001356
2015-07-17,0.985,001356
2015-07-20,0.985,001356
2015-07-21,0.985,001356
2015-07-22,0.985,001356
2015-07-23,0.985,001356
2015-07-24,0.985,001356
2015-07-27,0.985,001356
2015-07-28,0.985,001356
2015-07-29,0.986,001356
2015-07-30,0.988,001356
2015-07-31,0.991,001356
2015-08-03,0.991,001356
2015-08-04,0.991,001356
2015-08-05,0.991,001356
2015-08-06,0.991,001356
2015-08-07,0.992,001356
2015-08-10,0.992,001356
2015-08-11,0.992,001356
2015-08-12,0.992,001356
2015-08-13,0.992,001356
2015-08-14,0.992,001356
2015-08-17,0.992,001356
2015-08-18,0.992,001356
2015-08-19,0.992,001356
2015-08-20,0.992,001356
2015-08-21,0.993,001356
2015-08-24,0.992,001356
2015-08-25,0.992,001356
2015-08-26,0.992,001356
2015-08-27,0.992,001356
2015-08-28,0.992,001356
2015-08-31,0.992,001356
2015-09-01,0.992,001356
2015-09-02,0.992,001356
2015-09-07,0.992,001356
2015-09-08,0.992,001356
2015-09-09,0.992,001356
2015-09-10,0.992,001356
2015-09-11,0.992,001356
2015-09-14,0.992,001356
2015-09-15,0.992,001356
2015-09-16,0.993,001356
2015-09-17,0.993,001356
2015-09-18,0.992,001356
2015-09-21,0.994,001356
2015-09-22,0.995,001356
2015-09-23,0.994,001356
2015-09-24,0.994,001356
2015-09-25,0.994,001356
2015-09-28,0.995,001356
2015-09-29,0.995,001356
2015-09-30,0.995,001356
2015-10-08,0.995,001356
2015-10-09,0.996,001356
2015-10-12,0.997,001356
2015-10-13,0.998,001356
2015-10-14,0.998,001356
2015-10-15,0.998,001356
2015-10-16,0.998,001356
2015-10-19,0.998,001356
2015-10-20,0.998,001356
2015-10-21,0.998,001356
2015-10-22,0.999,001356
2015-10-23,0.999,001356
2015-10-26,1.001,001356
2015-10-27,1.002,001356
2015-10-28,1.002,001356
2015-10-29,1.001,001356
2015-10-30,1.001,001356
2015-11-02,1.0,001356
2015-11-03,1.0,001356
2015-11-04,1.0,001356
2015-11-05,1.0,001356
2015-11-06,1.0,001356
2015-11-09,0.997,001356
2015-11-10,0.997,001356
2015-11-11,0.998,001356
2015-11-12,0.998,001356
2015-11-13,0.998,001356
2015-11-16,0.999,001356
2015-11-17,0.999,001356
2015-11-18,0.998,001356
2015-11-19,0.998,001356
2015-11-20,0.999,001356
2015-11-23,0.999,001356
2015-11-24,0.999,001356
2015-11-25,0.999,001356
2015-11-26,0.999,001356
2015-11-27,0.999,001356
2015-11-30,0.999,001356
2015-12-01,0.999,001356
2015-12-02,0.999,001356
2015-12-03,0.999,001356
2015-12-04,0.999,001356
2015-12-07,0.999,001356
2015-12-08,0.998,001356
2015-12-09,0.998,001356
2015-12-10,0.998,001356
2015-12-11,0.999,001356
2015-12-14,0.999,001356
2015-12-15,0.999,001356
2015-12-16,0.999,001356
2015-12-17,0.999,001356
2015-12-18,0.999,001356
2015-12-21,0.999,001356
2015-12-22,1.0,001356
2015-12-23,1.0,001356
2015-12-24,1.0,001356
2015-12-25,1.001,001356
2015-12-28,1.001,001356
2015-12-29,1.001,001356
2015-12-30,1.002,001356
2015-12-31,1.002,001356
2016-01-04,1.002,001356
2016-01-05,1.003,001356
2016-01-06,1.003,001356
2016-01-07,1.003,001356
2016-01-08,1.004,001356
2016-01-11,1.004,001356
2016-01-12,1.004,001356
2016-01-13,1.004,001356
2016-01-14,1.004,001356
2016-01-15,1.004,001356
2016-01-18,1.004,001356
2016-01-19,1.005,001356
2016-01-20,1.005,001356
2016-01-21,1.004,001356
2016-01-22,1.005,001356
2016-01-25,1.005,001356
2016-01-26,1.005,001356
2016-01-27,1.005,001356
2016-01-28,1.005,001356
2016-01-29,1.005,001356
2016-02-01,1.005,001356
2016-02-02,1.005,001356
