date,close,code
2016-12-07,1.0,003511
2016-12-09,1.0001,003511
2016-12-16,1.0005,003511
2016-12-23,1.0011,003511
2016-12-30,1.0018,003511
2016-12-31,1.0019,003511
2017-01-06,1.0024,003511
2017-01-11,1.0026,003511
2017-01-12,1.0026,003511
2017-01-13,1.0026,003511
2017-01-16,1.0026,003511
2017-01-17,1.0027,003511
2017-01-18,1.0028,003511
2017-01-19,1.0029,003511
2017-01-20,1.003,003511
2017-01-23,1.0032,003511
2017-01-24,1.0035,003511
2017-01-25,1.0036,003511
2017-01-26,1.0036,003511
2017-02-03,1.0037,003511
2017-02-06,1.0037,003511
2017-02-07,1.0038,003511
2017-02-08,1.0038,003511
2017-02-09,1.0038,003511
2017-02-10,1.0038,003511
2017-02-13,1.0039,003511
2017-02-14,1.0039,003511
2017-02-15,1.0039,003511
2017-02-16,1.004,003511
2017-02-17,1.004,003511
2017-02-20,1.0041,003511
2017-02-21,1.0042,003511
2017-02-22,1.0043,003511
2017-02-23,1.0044,003511
2017-02-24,1.0045,003511
2017-02-27,1.0044,003511
2017-02-28,1.0045,003511
2017-03-01,1.0046,003511
2017-03-02,1.0046,003511
2017-03-03,1.0046,003511
2017-03-06,1.0046,003511
2017-03-07,1.0047,003511
2017-03-08,1.0047,003511
2017-03-09,1.0047,003511
2017-03-10,1.0047,003511
2017-03-13,1.0047,003511
2017-03-14,1.0047,003511
2017-03-15,1.0048,003511
2017-03-16,1.0048,003511
2017-03-17,1.0049,003511
2017-03-20,1.0049,003511
2017-03-21,1.0051,003511
2017-03-22,1.005,003511
2017-03-23,1.005,003511
2017-03-24,1.0052,003511
2017-03-27,1.0054,003511
2017-03-28,1.0053,003511
2017-03-29,1.0054,003511
2017-03-30,1.0055,003511
2017-03-31,1.0056,003511
2017-04-05,1.0061,003511
2017-04-06,1.0064,003511
2017-04-07,1.0063,003511
2017-04-10,1.0065,003511
2017-04-11,1.0065,003511
2017-04-12,1.0065,003511
2017-04-13,1.0067,003511
2017-04-14,1.0063,003511
2017-04-17,1.0056,003511
2017-04-18,1.0056,003511
2017-04-19,1.0055,003511
2017-04-20,1.0058,003511
2017-04-21,1.0059,003511
2017-04-24,1.0048,003511
2017-04-25,1.0054,003511
2017-04-26,1.0062,003511
2017-04-27,1.0067,003511
2017-04-28,1.0067,003511
2017-05-02,1.0062,003511
2017-05-03,1.0068,003511
2017-05-04,1.0068,003511
2017-05-05,1.0061,003511
2017-05-08,1.0051,003511
2017-05-09,1.0047,003511
2017-05-10,1.0039,003511
2017-05-11,1.0032,003511
2017-05-12,1.0041,003511
2017-05-15,1.0043,003511
2017-05-16,1.0053,003511
2017-05-17,1.0056,003511
2017-05-18,1.0053,003511
2017-05-19,1.0052,003511
2017-05-22,1.0038,003511
2017-05-23,1.0019,003511
2017-05-24,1.0003,003511
2017-05-25,1.0062,003511
2017-05-26,1.0057,003511
2017-05-31,1.008,003511
2017-06-01,1.008,003511
