date,close,code
2016-12-16,1.0,003417
2016-12-23,1.001,003417
2016-12-30,1.002,003417
2016-12-31,1.002,003417
2017-01-06,1.002,003417
2017-01-13,1.003,003417
2017-01-20,1.005,003417
2017-01-26,1.004,003417
2017-02-03,1.005,003417
2017-02-10,1.005,003417
2017-02-14,1.006,003417
2017-02-15,1.006,003417
2017-02-16,1.006,003417
2017-02-17,1.006,003417
2017-02-20,1.007,003417
2017-02-21,1.007,003417
2017-02-22,1.007,003417
2017-02-23,1.007,003417
2017-02-24,1.007,003417
2017-02-27,1.007,003417
2017-02-28,1.007,003417
2017-03-01,1.007,003417
2017-03-02,1.008,003417
2017-03-03,1.008,003417
2017-03-06,1.008,003417
2017-03-07,1.008,003417
2017-03-08,1.008,003417
2017-03-09,1.008,003417
2017-03-10,1.008,003417
2017-03-13,1.008,003417
2017-03-14,1.008,003417
2017-03-15,1.008,003417
2017-03-16,1.008,003417
2017-03-17,1.009,003417
2017-03-20,1.009,003417
2017-03-21,1.009,003417
2017-03-22,1.009,003417
2017-03-23,1.009,003417
2017-03-24,1.009,003417
2017-03-27,1.01,003417
2017-03-28,1.01,003417
2017-03-29,1.01,003417
2017-03-30,1.01,003417
2017-03-31,1.01,003417
2017-04-05,1.011,003417
2017-04-06,1.011,003417
2017-04-07,1.012,003417
2017-04-10,1.012,003417
2017-04-11,1.013,003417
2017-04-12,1.013,003417
2017-04-13,1.013,003417
2017-04-14,1.013,003417
2017-04-17,1.013,003417
2017-04-18,1.013,003417
2017-04-19,1.012,003417
2017-04-20,1.012,003417
2017-04-21,1.012,003417
2017-04-24,1.012,003417
2017-04-25,1.012,003417
2017-04-26,1.012,003417
2017-04-27,1.012,003417
2017-04-28,1.012,003417
2017-05-02,1.013,003417
2017-05-03,1.013,003417
2017-05-04,1.013,003417
2017-05-05,1.013,003417
2017-05-08,1.013,003417
2017-05-09,1.013,003417
2017-05-10,1.013,003417
2017-05-11,1.013,003417
2017-05-12,1.012,003417
2017-05-15,1.012,003417
2017-05-16,1.012,003417
2017-05-17,1.012,003417
2017-05-18,1.012,003417
2017-05-19,1.012,003417
2017-05-22,1.013,003417
2017-05-23,1.013,003417
2017-05-24,1.013,003417
2017-05-25,1.013,003417
2017-05-26,1.013,003417
2017-05-31,1.014,003417
2017-06-01,1.014,003417
2017-06-02,1.014,003417
2017-06-05,1.015,003417
2017-06-06,1.015,003417
2017-06-07,1.015,003417
2017-06-08,1.015,003417
2017-06-09,1.014,003417
2017-06-12,1.015,003417
2017-06-13,1.015,003417
2017-06-14,1.016,003417
2017-06-15,1.016,003417
2017-06-16,1.016,003417
2017-06-19,1.017,003417
2017-06-20,1.018,003417
2017-06-21,1.018,003417
2017-06-22,1.019,003417
2017-06-23,1.019,003417
2017-06-26,1.02,003417
2017-06-27,1.021,003417
2017-06-28,1.021,003417
2017-06-29,1.022,003417
2017-06-30,1.022,003417
2017-07-03,1.022,003417
2017-07-04,1.023,003417
2017-07-05,1.023,003417
2017-07-06,1.024,003417
2017-07-07,1.024,003417
2017-07-10,1.025,003417
2017-07-11,1.025,003417
2017-07-12,1.025,003417
2017-07-13,1.025,003417
2017-07-14,1.026,003417
2017-07-17,1.026,003417
2017-07-18,1.026,003417
2017-07-19,1.026,003417
2017-07-20,1.026,003417
2017-07-21,1.026,003417
2017-07-24,1.027,003417
2017-07-25,1.027,003417
2017-07-26,1.027,003417
2017-07-27,1.027,003417
2017-07-28,1.027,003417
2017-07-31,1.028,003417
2017-08-01,1.027,003417
2017-08-02,1.028,003417
2017-08-03,1.028,003417
2017-08-04,1.028,003417
2017-08-07,1.028,003417
2017-08-08,1.029,003417
2017-08-09,1.029,003417
2017-08-10,1.029,003417
2017-08-11,1.029,003417
2017-08-14,1.029,003417
2017-08-15,1.029,003417
2017-08-16,1.029,003417
2017-08-17,1.029,003417
2017-08-18,1.029,003417
2017-08-21,1.03,003417
2017-08-22,1.03,003417
2017-08-23,1.03,003417
2017-08-24,1.03,003417
2017-08-25,1.03,003417
2017-08-28,1.03,003417
2017-08-29,1.03,003417
2017-08-30,1.03,003417
2017-08-31,1.03,003417
2017-09-01,1.03,003417
2017-09-04,1.031,003417
2017-09-05,1.031,003417
2017-09-06,1.031,003417
2017-09-07,1.031,003417
2017-09-08,1.032,003417
2017-09-11,1.032,003417
2017-09-12,1.033,003417
2017-09-13,1.033,003417
2017-09-14,1.033,003417
2017-09-15,1.033,003417
2017-09-18,1.034,003417
2017-09-19,1.034,003417
2017-09-20,1.034,003417
2017-09-21,1.034,003417
2017-09-22,1.034,003417
2017-09-25,1.035,003417
2017-09-26,1.035,003417
2017-09-27,1.034,003417
2017-09-28,1.035,003417
2017-09-29,1.035,003417
2017-10-09,1.036,003417
2017-10-10,1.036,003417
2017-10-11,1.037,003417
2017-10-12,1.037,003417
2017-10-13,1.037,003417
2017-10-16,1.038,003417
2017-10-17,1.038,003417
2017-10-18,1.038,003417
2017-10-19,1.038,003417
2017-10-20,1.038,003417
2017-10-23,1.039,003417
2017-10-24,1.039,003417
2017-10-25,1.039,003417
2017-10-26,1.039,003417
2017-10-27,1.039,003417
2017-10-30,1.039,003417
2017-10-31,1.039,003417
2017-11-01,1.039,003417
2017-11-02,1.039,003417
2017-11-03,1.039,003417
2017-11-06,1.04,003417
2017-11-07,1.04,003417
2017-11-08,1.04,003417
2017-11-09,1.04,003417
2017-11-10,1.04,003417
2017-11-13,1.04,003417
2017-11-14,1.04,003417
2017-11-15,1.04,003417
