date,close,code
2017-01-13,1.0,003040
2017-01-20,1.0,003040
2017-01-26,1.001,003040
2017-02-03,1.001,003040
2017-02-08,1.002,003040
2017-02-09,1.002,003040
2017-02-10,1.002,003040
2017-02-13,1.002,003040
2017-02-14,1.002,003040
2017-02-15,1.002,003040
2017-02-16,1.002,003040
2017-02-17,1.002,003040
2017-02-20,1.002,003040
2017-02-21,1.002,003040
2017-02-22,1.002,003040
2017-02-23,1.001,003040
2017-02-24,1.001,003040
2017-02-27,1.001,003040
2017-02-28,1.001,003040
2017-03-01,1.002,003040
2017-03-02,1.002,003040
2017-03-03,1.002,003040
2017-03-06,1.002,003040
2017-03-07,1.002,003040
2017-03-08,1.002,003040
2017-03-09,1.002,003040
2017-03-10,1.002,003040
2017-03-13,1.002,003040
2017-03-14,1.002,003040
2017-03-15,1.002,003040
2017-03-16,1.002,003040
2017-03-17,1.002,003040
2017-03-20,1.002,003040
2017-03-21,1.002,003040
2017-03-22,1.002,003040
2017-03-23,1.003,003040
2017-03-24,1.003,003040
2017-03-27,1.003,003040
2017-03-28,1.003,003040
2017-03-29,1.003,003040
2017-03-30,1.003,003040
2017-03-31,1.003,003040
2017-04-05,1.004,003040
2017-04-06,1.004,003040
2017-04-07,1.004,003040
2017-04-10,1.004,003040
2017-04-11,1.004,003040
2017-04-12,1.004,003040
2017-04-13,1.004,003040
2017-04-14,1.004,003040
2017-04-17,1.004,003040
2017-04-18,1.005,003040
2017-04-19,1.005,003040
2017-04-20,1.005,003040
2017-04-21,1.005,003040
2017-04-24,1.005,003040
2017-04-25,1.005,003040
2017-04-26,1.005,003040
2017-04-27,1.005,003040
2017-04-28,1.007,003040
2017-05-02,1.007,003040
2017-05-03,1.007,003040
2017-05-04,1.007,003040
2017-05-05,1.007,003040
2017-05-08,1.007,003040
2017-05-09,1.007,003040
2017-05-10,1.008,003040
2017-05-11,1.008,003040
2017-05-12,1.008,003040
2017-05-15,1.008,003040
2017-05-16,1.008,003040
2017-05-17,1.008,003040
2017-05-18,1.009,003040
2017-05-19,1.009,003040
2017-05-22,1.009,003040
2017-05-23,1.009,003040
2017-05-24,1.009,003040
2017-05-25,1.009,003040
2017-05-26,1.014,003040
2017-05-31,1.015,003040
2017-06-01,1.015,003040
2017-06-02,1.015,003040
2017-06-05,1.015,003040
2017-06-06,1.015,003040
2017-06-07,1.015,003040
2017-06-08,1.015,003040
2017-06-09,1.016,003040
2017-06-12,1.016,003040
2017-06-13,1.016,003040
2017-06-14,1.016,003040
2017-06-15,1.016,003040
2017-06-16,1.016,003040
2017-06-19,1.016,003040
2017-06-20,1.017,003040
2017-06-21,1.017,003040
2017-06-22,1.017,003040
2017-06-23,1.017,003040
2017-06-26,1.017,003040
2017-06-27,1.017,003040
2017-06-28,1.018,003040
2017-06-29,1.018,003040
2017-06-30,1.018,003040
2017-07-03,1.019,003040
2017-07-04,1.019,003040
2017-07-05,1.019,003040
2017-07-06,1.019,003040
2017-07-07,1.019,003040
2017-07-10,1.019,003040
2017-07-11,1.02,003040
2017-07-12,1.021,003040
2017-07-13,1.021,003040
2017-07-14,1.021,003040
2017-07-17,1.02,003040
2017-07-18,1.02,003040
2017-07-19,1.02,003040
2017-07-20,1.02,003040
2017-07-21,1.02,003040
2017-07-24,1.019,003040
2017-07-25,1.019,003040
2017-07-26,1.019,003040
2017-07-27,1.017,003040
2017-07-28,1.017,003040
2017-07-31,1.016,003040
2017-08-01,1.016,003040
2017-08-02,1.016,003040
2017-08-03,1.016,003040
2017-08-04,1.016,003040
2017-08-07,1.015,003040
2017-08-08,1.015,003040
2017-08-09,1.015,003040
2017-08-10,1.015,003040
2017-08-11,1.015,003040
2017-08-14,1.014,003040
2017-08-15,1.014,003040
2017-08-16,1.014,003040
2017-08-17,1.014,003040
2017-08-18,1.014,003040
2017-08-21,1.013,003040
2017-08-22,1.013,003040
2017-08-23,1.013,003040
2017-08-24,1.013,003040
2017-08-25,1.012,003040
2017-08-28,1.012,003040
2017-08-29,1.012,003040
2017-08-30,1.011,003040
2017-08-31,1.011,003040
2017-09-01,1.011,003040
2017-09-04,1.011,003040
2017-09-05,1.01,003040
2017-09-06,1.01,003040
2017-09-07,1.011,003040
2017-09-08,1.011,003040
2017-09-11,1.01,003040
2017-09-12,1.01,003040
2017-09-13,1.01,003040
2017-09-14,1.01,003040
2017-09-15,1.009,003040
2017-09-18,1.009,003040
2017-09-19,1.009,003040
2017-09-20,1.009,003040
2017-09-21,1.008,003040
2017-09-22,1.008,003040
2017-09-25,1.008,003040
2017-09-26,1.007,003040
2017-09-27,1.007,003040
2017-09-28,1.007,003040
2017-09-29,1.007,003040
2017-10-09,1.005,003040
