date,close,code
2013-09-02,1.0,000187
2013-09-06,1.0,000187
2013-09-13,1.001,000187
2013-09-18,1.002,000187
2013-09-27,1.003,000187
2013-09-30,1.003,000187
2013-10-11,1.004,000187
2013-10-17,1.005,000187
2013-10-18,1.005,000187
2013-10-21,1.005,000187
2013-10-22,1.005,000187
2013-10-23,1.006,000187
2013-10-24,1.006,000187
2013-10-25,1.006,000187
2013-10-28,1.006,000187
2013-10-29,1.006,000187
2013-10-30,1.006,000187
2013-10-31,1.006,000187
2013-11-01,1.006,000187
2013-11-04,1.007,000187
2013-11-05,1.007,000187
2013-11-06,1.007,000187
2013-11-07,1.007,000187
2013-11-08,1.007,000187
2013-11-11,1.007,000187
2013-11-12,1.007,000187
2013-11-13,1.008,000187
2013-11-14,1.008,000187
2013-11-15,1.008,000187
2013-11-18,1.008,000187
2013-11-19,1.007,000187
2013-11-20,1.007,000187
2013-11-21,1.007,000187
2013-11-22,1.008,000187
2013-11-25,1.008,000187
2013-11-26,1.008,000187
2013-11-27,1.008,000187
2013-11-28,1.009,000187
2013-11-29,1.009,000187
2013-12-02,1.009,000187
2013-12-03,1.009,000187
2013-12-04,1.009,000187
2013-12-05,1.01,000187
2013-12-06,1.01,000187
2013-12-09,1.01,000187
2013-12-10,1.011,000187
2013-12-11,1.011,000187
2013-12-12,1.012,000187
2013-12-13,1.013,000187
2013-12-16,1.013,000187
2013-12-17,1.012,000187
2013-12-18,1.019,000187
2013-12-19,1.01,000187
2013-12-20,1.01,000187
2013-12-23,1.01,000187
2013-12-24,1.011,000187
2013-12-25,1.011,000187
2013-12-26,1.011,000187
2013-12-27,1.011,000187
2013-12-30,1.011,000187
2013-12-31,1.011,000187
2014-01-02,1.011,000187
2014-01-03,1.009,000187
2014-01-06,1.009,000187
2014-01-07,1.009,000187
2014-01-08,1.009,000187
2014-01-09,1.008,000187
2014-01-10,1.007,000187
2014-01-13,1.007,000187
2014-01-14,1.007,000187
2014-01-15,1.008,000187
2014-01-16,1.008,000187
2014-01-17,1.008,000187
2014-01-20,1.008,000187
2014-01-21,1.009,000187
2014-01-22,1.01,000187
2014-01-23,1.007,000187
2014-01-24,1.008,000187
2014-01-27,1.008,000187
2014-01-28,1.008,000187
2014-01-29,1.008,000187
2014-01-30,1.008,000187
2014-02-07,1.01,000187
2014-02-10,1.011,000187
2014-02-11,1.011,000187
2014-02-12,1.011,000187
2014-02-13,1.013,000187
2014-02-14,1.013,000187
2014-02-17,1.013,000187
2014-02-18,1.013,000187
2014-02-19,1.014,000187
2014-02-20,1.015,000187
2014-02-21,1.016,000187
2014-02-24,1.016,000187
2014-02-25,1.017,000187
2014-02-26,1.019,000187
2014-02-27,1.021,000187
2014-02-28,1.022,000187
2014-03-03,1.022,000187
2014-03-04,1.022,000187
2014-03-05,1.021,000187
2014-03-06,1.021,000187
2014-03-07,1.022,000187
2014-03-10,1.022,000187
2014-03-11,1.022,000187
2014-03-12,1.022,000187
2014-03-13,1.022,000187
2014-03-14,1.022,000187
2014-03-17,1.023,000187
2014-03-18,1.023,000187
2014-03-19,1.022,000187
2014-03-20,1.022,000187
2014-03-21,1.022,000187
2014-03-24,1.023,000187
2014-03-25,1.022,000187
2014-03-26,1.022,000187
2014-03-27,1.023,000187
2014-03-28,1.023,000187
2014-03-31,1.023,000187
2014-04-01,1.023,000187
2014-04-02,1.023,000187
2014-04-03,1.023,000187
2014-04-04,1.024,000187
2014-04-08,1.026,000187
2014-04-09,1.024,000187
2014-04-10,1.025,000187
2014-04-11,1.027,000187
2014-04-14,1.028,000187
2014-04-15,1.028,000187
2014-04-16,1.029,000187
2014-04-17,1.03,000187
2014-04-18,1.031,000187
2014-04-21,1.032,000187
2014-04-22,1.032,000187
2014-04-23,1.032,000187
2014-04-24,1.032,000187
2014-04-25,1.033,000187
2014-04-28,1.033,000187
2014-04-29,1.034,000187
2014-04-30,1.035,000187
2014-05-05,1.036,000187
2014-05-06,1.038,000187
2014-05-07,1.039,000187
2014-05-08,1.04,000187
2014-05-09,1.042,000187
2014-05-12,1.043,000187
2014-05-13,1.044,000187
2014-05-14,1.043,000187
2014-05-15,1.043,000187
2014-05-16,1.044,000187
2014-05-19,1.044,000187
2014-05-20,1.044,000187
2014-05-21,1.044,000187
2014-05-22,1.045,000187
2014-05-23,1.045,000187
2014-05-26,1.046,000187
2014-05-27,1.046,000187
2014-05-28,1.047,000187
2014-05-29,1.048,000187
2014-05-30,1.048,000187
2014-06-03,1.05,000187
2014-06-04,1.051,000187
2014-06-05,1.052,000187
2014-06-06,1.052,000187
2014-06-09,1.052,000187
2014-06-10,1.053,000187
2014-06-11,1.053,000187
2014-06-12,1.054,000187
2014-06-13,1.055,000187
2014-06-16,1.056,000187
2014-06-17,1.056,000187
2014-06-18,1.055,000187
2014-06-19,1.055,000187
2014-06-20,1.056,000187
2014-06-23,1.057,000187
2014-06-24,1.057,000187
2014-06-25,1.058,000187
2014-06-26,1.058,000187
2014-06-27,1.058,000187
2014-06-30,1.059,000187
2014-07-01,1.058,000187
2014-07-02,1.058,000187
2014-07-03,1.058,000187
2014-07-04,1.058,000187
2014-07-07,1.058,000187
2014-07-08,1.058,000187
2014-07-09,1.059,000187
2014-07-10,1.059,000187
2014-07-11,1.059,000187
2014-07-14,1.06,000187
2014-07-15,1.06,000187
2014-07-16,1.06,000187
2014-07-17,1.059,000187
2014-07-18,1.059,000187
2014-07-21,1.059,000187
2014-07-22,1.059,000187
2014-07-23,1.059,000187
2014-07-24,1.059,000187
2014-07-25,1.06,000187
2014-07-28,1.06,000187
2014-07-29,1.061,000187
2014-07-30,1.062,000187
2014-07-31,1.062,000187
2014-08-01,1.062,000187
2014-08-04,1.063,000187
2014-08-05,1.063,000187
