date,close,code
2018-01-24,1.0,001958
2018-01-25,1.0,001958
2018-01-26,1.0,001958
2018-02-02,1.001,001958
2018-02-08,1.001,001958
2018-02-09,1.001,001958
2018-02-12,1.001,001958
2018-02-13,1.001,001958
2018-02-14,1.001,001958
2018-02-22,1.002,001958
2018-02-23,1.002,001958
2018-02-26,1.002,001958
2018-02-27,1.002,001958
2018-02-28,1.002,001958
2018-03-01,1.002,001958
2018-03-02,1.002,001958
2018-03-05,1.003,001958
2018-03-06,1.003,001958
2018-03-07,1.003,001958
2018-03-08,1.003,001958
2018-03-09,1.003,001958
2018-03-12,1.003,001958
2018-03-13,1.003,001958
2018-03-14,1.003,001958
2018-03-15,1.003,001958
2018-03-16,1.003,001958
2018-03-19,1.003,001958
2018-03-20,1.004,001958
2018-03-21,1.004,001958
2018-03-22,1.005,001958
2018-03-23,1.006,001958
2018-03-26,1.007,001958
2018-03-27,1.007,001958
2018-03-28,1.008,001958
2018-03-29,1.008,001958
2018-03-30,1.009,001958
2018-04-02,1.01,001958
2018-04-03,1.011,001958
2018-04-04,1.012,001958
2018-04-09,1.014,001958
2018-04-10,1.014,001958
2018-04-11,1.015,001958
2018-04-12,1.015,001958
2018-04-13,1.015,001958
2018-04-16,1.016,001958
2018-04-17,1.016,001958
2018-04-18,1.02,001958
2018-04-19,1.02,001958
2018-04-20,1.019,001958
2018-04-23,1.018,001958
2018-04-24,1.019,001958
2018-04-25,1.019,001958
2018-04-26,1.019,001958
2018-04-27,1.019,001958
2018-05-02,1.019,001958
2018-05-03,1.02,001958
2018-05-04,1.019,001958
2018-05-07,1.02,001958
2018-05-08,1.02,001958
2018-05-09,1.019,001958
2018-05-10,1.019,001958
2018-05-11,1.019,001958
2018-05-14,1.019,001958
2018-05-15,1.019,001958
2018-05-16,1.018,001958
2018-05-17,1.018,001958
2018-05-18,1.019,001958
2018-05-21,1.02,001958
2018-05-22,1.021,001958
2018-05-23,1.02,001958
2018-05-24,1.021,001958
2018-05-25,1.02,001958
2018-05-28,1.021,001958
2018-05-29,1.02,001958
2018-05-30,1.019,001958
2018-05-31,1.019,001958
2018-06-01,1.019,001958
2018-06-04,1.02,001958
2018-06-05,1.021,001958
2018-06-06,1.021,001958
2018-06-07,1.021,001958
2018-06-08,1.02,001958
2018-06-11,1.021,001958
2018-06-12,1.021,001958
2018-06-13,1.02,001958
2018-06-14,1.02,001958
2018-06-15,1.019,001958
2018-06-19,1.016,001958
2018-06-20,1.018,001958
2018-06-21,1.018,001958
2018-06-22,1.019,001958
2018-06-25,1.018,001958
2018-06-26,1.018,001958
2018-06-27,1.017,001958
2018-06-28,1.016,001958
2018-06-29,1.02,001958
2018-06-30,1.02,001958
2018-07-02,1.021,001958
2018-07-03,1.022,001958
2018-07-04,1.019,001958
2018-07-05,1.02,001958
